date,score,city,comment,nick
2018-08-13,5,南阳,值得一看……,依依3125
2018-08-13,5,偃师,很搞笑，也很感人，值得推荐,曦文小喵
2018-08-13,5,大石桥,还可以，，，,美团真的便宜么
2018-08-13,4.5,淮北,很棒 中间睡着了有点剧情没有跟上 很羡慕沈腾的生活 😹,GumokBingo
2018-08-13,2.5,湖州,荒诞～扯～～,RSz428578036
2018-08-13,2,漯河,"笑点编的还可以。
一触及到故事就全是硬伤。知识分子就是见钱眼开，爱情就是一场烟花，足球就是顶级球队打丙级球队（还是花钱买的）然后踢的极其认真。
故事其实可以更圆一点。",DdA160760703
2018-08-13,5,郑州,好看，好看，好看,ly924wd
2018-08-13,5,北京,非常好看，超级搞笑,约定的秘密
2018-08-13,5,南京,真的还不错!,WdO673130167
2018-08-13,5,兴安盟,"我看完整部电影的想法就是 
我想吃烧烤  烤腰子 我想吃好吃哒
然后男孩子是败家玩意儿",兔一.只
2018-08-13,5,芜湖,挺好看的，捧腹大笑,Rainbow仙道
2018-08-13,5,绥化,开心麻花最棒，沈腾最搞笑,pXq176269516
2018-08-13,0.5,红河,感觉演的成分太多，演的太明显,GfH690678622
2018-08-13,4.5,长沙,挺好看的，笑点好多,nrX484622929
2018-08-13,5,珠海,不错，还可以,Pcs847277083
2018-08-13,5,广州,"好看，很多内容都是有正面的影响。西虹人瘦这个反应了目前社会的一个不健康生活方式。很好的一部电影。

ps：王力宏在里面真的.....太好看了，太好听了",V4826492
2018-08-13,5,福州,好看必须看的,Sct13313758084
2018-08-13,3.5,常德,一般般。。。。。,〖foryou〗
2018-08-13,3.5,深圳,一般我笑点低，感觉可以。,Puzzle756
2018-08-13,5,深圳,很不错的电影！,Csx271693747
2018-08-13,5,无锡,到底最后捐了多少钱😖,过晓如
2018-08-13,5,镇江,燃烧我的卡路里！,KVJ442483052
2018-08-13,5,孝感,很有趣，非常精彩,Ken108232072
2018-08-13,5,深圳,抱着她看电影了😆,GER812536730
2018-08-13,4.5,怀仁,很有趣，不错不错,leq513710048
2018-08-13,5,从化,他二叔演技最好我给满分……,iWm238134625
2018-08-13,4,武汉,还不错有点尴尬,cyB949062277
2018-08-13,2.5,临沂,还行吧，跟夏洛比还差很多,gxt145988491
2018-08-13,4,佛山,可以吧！笑声中感受到內容,rHO127551753
2018-08-13,4.5,吉林,超级搞笑的一部喜剧,嘉嘉嘉嘉慧er
2018-08-13,5,北京,很好笑，演绎了另一种生活,oo2634
2018-08-13,4.5,鞍山,超级搞笑 很喜欢看  很感人有挺多感触,林稳重
2018-08-13,5,柳州,挺好笑的、几乎从头笑到尾,Btu684513494
2018-08-13,4,深圳,没有强颜尬笑，很好,SUJU家的匹诺曺
2018-08-13,4,毕节,一般般  没有想象中的好,指璐为马！
2018-08-13,3,襄阳,感觉没有一出好戏好看，但是评分怎么比一出好戏还高呢？女主太出戏了。。。,mmA415214885
2018-08-13,5,张家港,笑点太低了，,Kfx957331366
2018-08-13,5,南昌,笑到肚子痛哈哈哈哈,UYX118807355
2018-08-13,4.5,广州,畅快，全程有趣正能量,anchen376
2018-08-13,4.5,深圳,看了两遍虽不是真想去看两遍、但第二遍时却无厌烦不耐之感！人性变化流畅合理、剧情有点老套但表现方式不错，算是良心之作！,默语993
2018-08-13,5,珠海,开心而又感动，绝对不只是一个搞笑电影,CHV674650308
2018-08-13,4.5,哈尔滨,哎 沈腾怎么说呢 硬凑起来的电影,Ohb729370795
2018-08-13,5,南宁,棒极了，想去城堡里面住。,HlS121213831
2018-08-13,5,茂名,最痛苦的是一边笑一边憋niao……差评！笑死我了！,HYL194605738
2018-08-13,4,红河,bgm配的很棒，然后寓意也挺不错的,鹿一二三
2018-08-13,5,中山,很好看，沈腾从来没有让我们失望过～,LovesJane86
2018-08-13,5,昆山,很感人又搞笑，喜欢这部电影,我家淘宝ai
2018-08-13,5,阳泉,超好看。。。。。。,LL小樂鑫
2018-08-13,5,重庆,很好看很搞笑,WZs937079800
2018-08-13,5,上海,从头笑到尾，彩蛋多多,GIL178269159
2018-08-13,4.5,淮安,很喜剧，笑点多多,zy698615
2018-08-13,5,周口,好片，开始超搞笑，结局也很感人,XdJ915361630
2018-08-13,4.5,苏州,笑点多，值得一看,thc822
2018-08-13,5,晋中,很喜剧的一部电影，全程一直笑点不断,蜗牛主人
2018-08-13,1,杭州,哪有9分这么高的分！烂片！！！！！,yhf7907122005
2018-08-13,4,盐城,笑点很多，但是就是女主人设感觉有点尬,青衫依旧Y
2018-08-13,4,深圳,故事不错就是有的演员表演方式让人难受！,kMG104949297
2018-08-13,4.5,如皋,搞笑的点还是有的，感觉值得一看,瓶起子1983
2018-08-13,3,青岛,可能是期待太高了感觉一般,公牛插座领导者
2018-08-13,4.5,中牟,还不错，可以的1。,jiaotong042
2018-08-13,5,本溪,听别人说这部电影没有太多笑点，但是亲自去看之后，笑得都快抽了。,YaY24770322
2018-08-13,4.5,东营,感觉跟夏洛特烦恼一样好看，当时看的时候全影院的人都笑的哈哈的，好看值得一看,_qqh7m1375334553
2018-08-13,5,西安,超级好看啊哈哈哈,一段花落一段春
2018-08-13,5,武汉,很好看，全程笑,张紫薇vvvvv
2018-08-13,5,南京,暑假看的最值得的一部电影，好看,昊然的女人
2018-08-13,5,珠海,全程笑点！这电影让我穷人看着好爽,ICj465999945
2018-08-13,5,大连,很搞笑 有几个桥段 印象深刻,彤宝贝er
