date,score,city,comment,nick
2018-08-13,4,漯河,挺好的，但是这个总结吧总结的不是很优秀，不过过程不错，笑点真棒,白白was
2018-08-13,5,长沙,演出了水平！,BIB990741550
2018-08-13,5,绵竹,好看，好看，好看,RlW288715888
2018-08-13,5,上海,超级搞笑，喜欢开心麻花剧,陈成cc31
2018-08-13,5,株洲,非常好看。太赞了,liujiahui0103
2018-08-13,5,涿州,我喜欢这个二奶吼吼吼  有爱😈,薛成美x
2018-08-13,5,济南,挺搞笑的，剧情挺棒,fkm900818746
2018-08-13,5,鞍山,非常好笑，期待开心麻花的下次作品,qwwawyj20080907
2018-08-13,3.5,淮安,还不错，可以去看看,ZYX1821076866
2018-08-13,5,秦皇岛,非常不错，笑点很足！,梦中花园zb
2018-08-13,4,沂水,其实想说一般般吧，还是好看的，但是并没有特别特别吸引人，两个小时到最后直接坐不住了，有一个点刚要哭出来眼泪还在框里就笑了，就这样,rkZ819498428
2018-08-13,5,深圳,好久没笑得这么开心了。,kssh0040848
2018-08-13,5,深圳,这个暑假值得拥有！,卢S刚
2018-08-13,5,大连,就是一个字，好看，喜欢,KDY737928082
2018-08-13,4.5,广州,笑点很多。好搞笑，好搞笑，好搞笑,MWD270652120
2018-08-13,5,安吉,很好看     很喜欢,jyq851268198
2018-08-13,5,北京,特别好看，很好笑,Lcf395962185
2018-08-13,5,天津,感觉挺好的啊 不像差评里面说的,小小卡哇
2018-08-13,4,武汉,沈腾的电影一直没有让人失望，之前对我来说是这样，从夏洛特烦恼到羞羞的铁拳，再到西虹市首富，剩下扣的2分因为女主不是马丽，,苏沐雪17
2018-08-13,5,武汉,好看，回去又找链接二刷,eleven小月
2018-08-13,5,乌鲁木齐,挺搞笑的，也有教育意义,ZBi162430116
2018-08-13,4,漯河,挺好的，但是这个总结吧总结的不是很优秀，不过过程不错，笑点真棒,白白was
2018-08-13,5,长沙,演出了水平！,BIB990741550
2018-08-13,5,绵竹,好看，好看，好看,RlW288715888
2018-08-13,5,上海,超级搞笑，喜欢开心麻花剧,陈成cc31
2018-08-13,5,株洲,非常好看。太赞了,liujiahui0103
2018-08-13,5,涿州,我喜欢这个二奶吼吼吼  有爱😈,薛成美x
2018-08-13,5,济南,挺搞笑的，剧情挺棒,fkm900818746
2018-08-13,5,鞍山,非常好笑，期待开心麻花的下次作品,qwwawyj20080907
2018-08-13,3.5,淮安,还不错，可以去看看,ZYX1821076866
2018-08-13,4.5,成都,确实很搞笑啊,wlzjyzjywl
2018-08-13,5,深圳,挺好看的，又搞笑，哈哈,LCS201810030
2018-08-13,4.5,清镇,全程笑点不断，乐死我了，眼泪都出来了,Tjw766560751
2018-08-13,4,任丘,乐乐呵呵看场电影得了呗 ,yyl109058882
2018-08-13,5,太原,特别好看，全程都在笑,xzo720931331
2018-08-13,3,深圳,只是有那么点搞笑，主题情景一般,Nathanli163
2018-08-13,4.5,广州,喜剧片，笑笑就好了,佳儿2497
2018-08-13,5,衡阳,还可以的，情节比较紧凑。,jkcxq481
2018-08-13,5,南京,不错不错不错,恃海而居zz
2018-08-13,5,临沂,感觉沈腾式搞笑已深入人心,汀斓一
2018-08-13,5,邢台,还行，特别搞笑,Ehh368760417
2018-08-13,5,平阳,很好看啊！突然粉上女主，宋芸烨真漂亮！而且声音很好听，一点点的台湾腔，很棒,我家三岁的小迷妹
2018-08-13,3,商城县,每一个群体都值得被服务，特别是广大的普通群众。但是光从电影来讲。。。,lHe965376682
2018-08-13,4,天津,内容简单，开心观影,贾峰林
2018-08-13,5,溧阳,有笑也有感动,呀～是雨宝
2018-08-13,4.5,重庆,看到最后居然有点伤感，不错的电影,longlongyy
2018-08-13,5,梅州,好看看好看好看,zZH108048316
2018-08-13,5,江门,浮夸又搞笑好评,kKJ239189027
2018-08-13,5,南京,爆笑，很好看,xiao旋律
2018-08-13,4,深圳,沈腾的电影一直没有让人失望，之前对我来说是这样，从夏洛特烦恼到羞羞的铁拳，再到西虹市首富，剩下扣的2分因为女主不是马丽，,PbF769420358
2018-08-13,3.5,昆明,我觉得一般。笑点很尬，不如夏洛特。,ljD154870109
2018-08-13,4.5,蚌埠,超好看！！！,ijO925651767
2018-08-13,5,北京,不错(*๓´╰╯`๓)♡,feng79712
2018-08-13,5,江阴,好看好看好看,LEmma
2018-08-13,3.5,南阳,很久没看电影了，这次又让我爱上了看电影,OOn850218346
2018-08-13,4.5,承德,爆米花喜剧，拯救不开心。,马铃薯同学
2018-08-13,5,珠海,有朝一日的成就不如现在的进步,UNA231238751
2018-08-13,5,绥化,非常好既有人生哲理又搞笑，值得一看,cov345606964
2018-08-13,4,建德,还是可以的吧,rmc276678435
2018-08-13,3.5,富阳,还可以还可以,棉桨
2018-08-13,5,榆林,挺好的  希望有一天这种好事让我来一把,姣姣8867
2018-08-13,4,威海,西红柿首富这部纯喜剧，是女儿极力推荐的，对小孩子也要言而无信，看完之后真觉得眼泪都要笑出来了，看喜剧就是这种感觉，看着轻松，看完放松。整部剧情节完整，逻辑清楚，虽然夸张演绎，但是符合喜剧的特点，沈腾自带喜剧效果，无论是表演还是台词，我觉得他一说话我就想笑，也比较喜欢配乐，可能和沈腾与我们同龄的缘故吧，都是我们那个年代的流行元素，再各路明星在恰当的时机出现，也让观众随时跟着兴奋，不错，8分！,株株似是故人来
2018-08-13,4.5,徐州,0K!G00D,BBx304302907
